XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,VCR__2013,3,3,3,3.0
/eml:eml/@packageId,VCR__2013,3,3,1.00,1.0
/eml:eml/@system,VCR__2013,3,3,1.00,1.0
/eml:eml/@xsi:schemaLocation,VCR__2013,3,3,1.00,1.0
/eml:eml/access/@authSystem,VCR__2013,3,3,1.00,1.0
/eml:eml/access/@order,VCR__2013,3,3,1.00,1.0
/eml:eml/access/allow/permission,VCR__2013,6,3,2.00,1.0
/eml:eml/access/allow/principal,VCR__2013,6,3,2.00,1.0
/eml:eml/additionalMetadata/metadata/localtags/projectId,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/additionalMetadata/metadata/localtags/system,VCR__2013,3,3,1.00,1.0
/eml:eml/additionalMetadata/metadata/localtags/weight,VCR__2013,3,3,1.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,VCR__2013,3,1,1.00,0.3333333333333333
/eml:eml/dataset/@id,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/@system,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/abstract/para,VCR__2013,10,3,3.33,1.0
/eml:eml/dataset/alternateIdentifier,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/alternateIdentifier/@system,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/contact/@id,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/contact/address/administrativeArea,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/address/city,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/address/country,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/address/deliveryPoint,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/address/postalCode,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/electronicMailAddress,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/contact/individualName/givenName,VCR__2013,4,3,1.33,1.0
/eml:eml/dataset/contact/individualName/surName,VCR__2013,4,3,1.33,1.0
/eml:eml/dataset/contact/onlineUrl,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/contact/phone,VCR__2013,14,3,4.67,1.0
/eml:eml/dataset/contact/phone/@phonetype,VCR__2013,14,3,4.67,1.0
/eml:eml/dataset/contact/positionName,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/contact/userId,VCR__2013,4,3,1.33,1.0
/eml:eml/dataset/contact/userId/@directory,VCR__2013,4,3,1.33,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,VCR__2013,3,2,1.00,0.6666666666666666
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,VCR__2013,3,2,1.00,0.6666666666666666
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,VCR__2013,3,2,1.00,0.6666666666666666
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,VCR__2013,12,3,4.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,VCR__2013,12,3,4.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,VCR__2013,12,3,4.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,VCR__2013,12,3,4.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,VCR__2013,12,3,4.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/creator/address/administrativeArea,VCR__2013,9,3,3.00,1.0
/eml:eml/dataset/creator/address/city,VCR__2013,9,3,3.00,1.0
/eml:eml/dataset/creator/address/country,VCR__2013,6,3,2.00,1.0
/eml:eml/dataset/creator/address/deliveryPoint,VCR__2013,9,3,3.00,1.0
/eml:eml/dataset/creator/address/postalCode,VCR__2013,8,3,2.67,1.0
/eml:eml/dataset/creator/electronicMailAddress,VCR__2013,8,3,2.67,1.0
/eml:eml/dataset/creator/individualName/givenName,VCR__2013,10,3,3.33,1.0
/eml:eml/dataset/creator/individualName/salutation,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/creator/individualName/surName,VCR__2013,10,3,3.33,1.0
/eml:eml/dataset/creator/phone,VCR__2013,13,3,4.33,1.0
/eml:eml/dataset/creator/phone/@phonetype,VCR__2013,13,3,4.33,1.0
/eml:eml/dataset/creator/userId,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/creator/userId/@directory,VCR__2013,7,3,2.33,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum/@exclusive,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum,VCR__2013,4,1,1.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum/@exclusive,VCR__2013,4,1,1.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,VCR__2013,4,1,1.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,VCR__2013,4,1,1.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,VCR__2013,13,1,4.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,VCR__2013,13,1,4.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/methods/methodStep/description/para,VCR__2013,3,1,1.00,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,VCR__2013,7,1,2.33,0.3333333333333333
/eml:eml/dataset/dataTable/entityDescription,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/entityName,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/characterEncoding,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/physicalLineDelimiter,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/literalCharacter,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/@order,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,VCR__2013,2,1,0.67,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/online/url,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/dataTable/physical/objectName,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/intellectualRights/section/para,VCR__2013,15,3,5.00,1.0
/eml:eml/dataset/intellectualRights/section/para/emphasis,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/intellectualRights/section/para/orderedlist/listitem/para,VCR__2013,18,3,6.00,1.0
/eml:eml/dataset/intellectualRights/section/title,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/keywordSet/keyword,VCR__2013,17,3,5.67,1.0
/eml:eml/dataset/keywordSet/keyword/@keywordType,VCR__2013,17,3,5.67,1.0
/eml:eml/dataset/keywordSet/keywordThesaurus,VCR__2013,5,3,1.67,1.0
/eml:eml/dataset/maintenance/description/para,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/maintenance/maintenanceUpdateFrequency,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/address/administrativeArea,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/address/city,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/address/country,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/address/deliveryPoint,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/address/postalCode,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/onlineUrl,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/organizationName,VCR__2013,3,3,1.00,1.0
/eml:eml/dataset/metadataProvider/phone,VCR__2013,6,3,2.00,1.0
/eml:eml/dataset/metadataProvider/phone/@phonetype,VCR__2013,6,3,2.00,1.0
/eml:eml/dataset/methods/methodStep/description/para,VCR__2013,41,3,13.67,1.0
/eml:eml/dataset/methods/methodStep/description/para/emphasis,VCR__2013,7,2,2.33,0.6666666666666666
/eml:eml/dataset/methods/methodStep/description/para/itemizedlist/listitem/para,VCR__2013,4,1,1.33,0.3333333333333333
/eml:eml/dataset/methods/methodStep/description/para/literalLayout,VCR__2013,1,1,0.33,0.3333333333333333
/eml:eml/dataset/otherEntity/alternateIdentifier,VCR__2013,3,1,1.00,0.3333333333333333
/eml:eml/dataset/otherEntity/entityDescription,VCR__2013,5,2,1.67,0.6666666666666666
/eml:eml/dataset/otherEntity/entityName,VCR__2013,5,2,1.67,0.6666666666666666
